
Starting Nmap 7.60 ( https://nmap.org ) at 2018-08-14 13:35 CST
NSE: Loaded 1 scripts for scanning.
NSE: Script Pre-scanning.
NSE: Starting runlevel 1 (of 1) scan.
Discovered open port 21/tcp on 101.81.86.60[上海市 电信]
Discovered open port 21/tcp on 101.81.147.60[上海市 电信]
Discovered open port 21/tcp on 101.81.91.62[上海市 电信]
Discovered open port 21/tcp on 101.81.239.62[上海市 电信]
Discovered open port 21/tcp on 101.81.191.63[上海市 电信]
Discovered open port 21/tcp on 101.81.222.63[上海市 电信]
Discovered open port 21/tcp on 101.81.230.63[上海市 电信]
Discovered open port 21/tcp on 101.81.142.64[上海市 电信]
Discovered open port 21/tcp on 101.81.36.64[上海市 电信]
Discovered open port 21/tcp on 101.81.112.66[上海市 电信]
Discovered open port 21/tcp on 101.81.126.65[上海市 电信]
Discovered open port 21/tcp on 101.81.146.66[上海市 电信]
Discovered open port 21/tcp on 101.81.204.66[上海市 电信]
Discovered open port 21/tcp on 101.81.248.66[上海市 电信]
Discovered open port 21/tcp on 101.81.85.67[上海市 电信]
Discovered open port 21/tcp on 101.81.183.68[上海市 电信]
Discovered open port 21/tcp on 101.81.105.67[上海市 电信]
Discovered open port 21/tcp on 101.81.188.68[上海市 电信]
Discovered open port 21/tcp on 101.81.37.69[上海市 电信]
Discovered open port 21/tcp on 101.81.232.68[上海市 电信]
Discovered open port 21/tcp on 101.81.111.69[上海市 电信]
Discovered open port 21/tcp on 101.81.88.70[上海市 电信]
Discovered open port 21/tcp on 101.81.114.70[上海市 电信]
Discovered open port 21/tcp on 101.81.126.71[上海市 电信]
Discovered open port 21/tcp on 101.81.230.72[上海市 电信]
Discovered open port 21/tcp on 101.81.227.73[上海市 电信]
Discovered open port 21/tcp on 101.81.149.74[上海市 电信]
Discovered open port 21/tcp on 101.81.60.76[上海市 电信]
Discovered open port 21/tcp on 101.81.245.76[上海市 电信]
Discovered open port 21/tcp on 101.81.201.77[上海市 电信]
Discovered open port 21/tcp on 101.81.154.79[上海市 电信]
Discovered open port 21/tcp on 101.81.39.78[上海市 电信]
Discovered open port 21/tcp on 101.81.101.82[上海市 电信]
Discovered open port 21/tcp on 101.81.154.80[上海市 电信]
Discovered open port 21/tcp on 101.81.163.82[上海市 电信]
Discovered open port 21/tcp on 101.81.36.83[上海市 电信]
Discovered open port 21/tcp on 101.81.217.82[上海市 电信]
Discovered open port 21/tcp on 101.81.62.83[上海市 电信]
Discovered open port 21/tcp on 101.81.86.83[上海市 电信]
Discovered open port 21/tcp on 101.81.206.84[上海市 电信]
Discovered open port 21/tcp on 101.81.113.85[上海市 电信]
Discovered open port 21/tcp on 101.81.219.86[上海市 电信]
Discovered open port 21/tcp on 101.81.49.86[上海市 电信]
Discovered open port 21/tcp on 101.81.250.86[上海市 电信]
Discovered open port 21/tcp on 101.81.118.90[上海市 电信]
Discovered open port 21/tcp on 101.81.219.91[上海市 电信]
Discovered open port 21/tcp on 101.81.109.92[上海市 电信]
Discovered open port 21/tcp on 101.81.204.92[上海市 电信]
Discovered open port 21/tcp on 101.81.208.93[上海市 电信]
